DATE,S&P 500,TA,CC,FFR,LF,,MKT-RF
2010-04,-2.463962648,-1.031029565,3.106257971,-1.197163145,-1.899412499,,-1.266799503
2010-05,1.358287965,35.49418017,-0.962909297,6.377696556,2.516571099,,-5.019408592
2010-06,-1.300881759,-0.675488776,-14.8297115,-0.16552902,-1.373959925,,-1.13535274
2010-07,3.04415801,-0.245472099,-1.342033331,-2.137014298,0.655489202,,5.181172308
2010-08,-1.944410619,0.899624298,3.154706765,-0.971222989,-0.520509193,,-0.97318763
2010-09,-2.151246913,-1.008612231,-2.868849705,-2.699998605,-1.934542491,,0.548751692
2010-10,-1.360158246,197.7892985,-0.047845267,4.941174781,-0.106088256,,-6.301333027
2010-11,-0.193767092,-0.381016162,-0.633647879,-1.738861293,-6.781253385,,1.545094201
2010-12,-2.703205823,4.312404941,-2.513625869,-3.204355298,-2.913433956,,0.501149475
2011-01,-1.623400303,-1.41567147,3.223928699,-0.736322233,-1.327872506,,-0.88707807
2011-02,-1.221801924,-1.308391728,-1.956513667,-1.867640871,-0.674712476,,0.645838947
2011-03,-4.586258235,1.56114842,-0.389533997,-3.000000618,0.100874928,,-1.586257617
2011-04,-1.896639432,-0.940739786,-1.942057304,2.495729656,-0.341282357,,-4.392369088
2011-05,-2.430438938,-10.83176987,-0.718939711,-2.616206894,-3.508232776,,0.185767955
2011-06,-0.884064262,-1.161266413,-0.664240963,-0.938271619,-2.103108368,,0.054207357
2011-07,-0.320938382,-19.52627503,0.757113617,-9.485716082,-1.981956475,,9.1647777
2011-08,10.19975961,0.189675058,2.004548719,-3.393939448,-1.516112634,,13.59369906
2011-09,-0.564743778,-1.082884013,-1.846332877,-1.798874835,-0.961401691,,1.234131057
2011-10,-12.04860817,-0.663553026,-2.049123221,-0.957746482,-47.47848399,,-11.09086168
2011-11,-1.607432349,-19.67491582,-5.122439103,-16.31250133,-1.000784406,,14.70506898
2011-12,-1.126357619,-4.650254305,-1.212141094,-1.832653063,649.5875804,,0.706295444
2012-01,1.517935533,-1.457434558,2.807900718,-1.998366016,-1.84507588,,3.51630155
2012-02,-1.084086017,-0.846200728,-1.898011558,-0.41475259,-3.14166988,,-0.669333426
2012-03,2.110625732,7.672702682,-0.40447599,-0.902603528,-1.483446701,,3.01322926
2012-04,3.294780823,-1.407505046,-3.351266589,-10.27655696,-2.000077476,,13.57133778
2012-05,0.489774771,-0.738975015,-0.889752949,-1.375551528,-0.969532205,,1.865326299
2012-06,-2.810137598,2.250710881,-2.024249423,-3.711537616,-2.039550043,,0.901400019
2012-07,-1.253872131,-1.640361788,-0.735198918,0.043566304,-1.602556727,,-1.297438435
2012-08,-1.268391958,0.393522122,-10.97055394,0.713592148,-48.009486,,-1.981984106
2012-09,-0.379371759,-1.272768391,-3.679592102,-2.911048158,1.165226772,,2.531676399
2012-10,-11.0389226,4.477139418,-1.280593365,-0.945449115,-2.401046417,,-10.09347348
2012-11,-1.519643806,-0.126888803,-3.533079749,-6.951083045,-1.272241221,,5.431439239
2012-12,-0.816001011,-0.499098586,-2.117419354,-1.133333288,-4.609945196,,0.317332277
2013-01,9.034858698,0.725645251,-0.372520811,-17.42466233,-1.311585322,,26.45952103
2013-02,-1.906144007,0.702712117,-1.254233298,-1.944537134,3.425673745,,0.038393127
2013-03,-1.637613544,-1.110177861,3.719503768,-1.158940406,-1.294220645,,-0.478673138
2013-04,-1.715699359,1.814134173,-2.092833925,-1.75,1.327521955,,0.034300641
2013-05,-1.150650113,-0.645118723,-1.435382931,-13.88888809,-1.699283621,,12.73823797
2013-06,-14.58071266,1.267313832,-1.777859089,-1.550574723,-1.431215521,,-13.03013794
2013-07,-2.777485979,-1.94959672,-2.110672881,-0.306889412,-3.024568814,,-2.470596568
2013-08,-2.263213774,-1.448825391,-3.129127437,-1.601656605,-1.519675953,,-0.661557169
2013-09,-1.763197353,6.245960842,-2.124545103,-1.788485621,0.037004514,,0.025288268
2013-10,-0.765774132,-2.254855594,-1.089547717,0.476190596,-0.976385782,,-1.241964728
2013-11,-2.115426429,-1.287782805,-1.582224946,-1.9860215,-115.3252743,,-0.129404929
2013-12,-0.726069473,-0.543541869,5.993301494,-1.364231206,-1.376425505,,0.638161733
2014-01,12.60861784,2.774308971,-5.111810491,-5.00299382,0.013525494,,17.61161166
2014-02,-2.31793647,-0.813989691,-1.557944335,-1.581792909,0.400998481,,-0.73614356
2014-03,-1.450063636,0.107817877,2.922226232,1.011019416,-1.664619051,,-2.461083052
2014-04,-0.979419768,-1.744075306,-1.864088487,-0.96237446,2.582056637,,-0.017045308
2014-05,-21.13595876,-6.513877323,-0.825976105,-25.50001896,-2.207183999,,4.364060206
2014-06,-1.132135875,0.049504295,-0.131206538,-1.761442483,-1.430189068,,0.629306608
2014-07,16.62535976,-1.598939442,-1.8298368,-2.123861597,-1.991168762,,18.74922136
2014-08,-2.530752254,-2.603738933,-2.382483722,-1.13533225,-1.628110692,,-1.395420003
2014-09,-2.008450012,-0.868414248,-1.20921619,0.766466986,-0.468134641,,-2.774916997
2014-10,-1.733317352,-5.87597673,-1.022570661,-0.86440663,-1.418304214,,-0.868910722
2014-11,-0.966268824,-2.042714621,-913.889247,4.274993723,4.951819258,,-5.241262546
2014-12,-22.85484992,-0.27767365,-0.873650286,11.17061711,-2.004323416,,-34.02546703
2015-01,-0.038659104,-1.179785874,-7.756826418,-2.387850455,-2.047109442,,2.349191351
2015-02,-4.10847248,-12.02588936,-1.095932335,-1.094396332,-2.047968114,,-3.014076148
2015-03,-1.835431348,-1.126929751,4.461457672,0.745223166,-1.386230128,,-2.580654514
2015-04,-1.366735295,-0.221530204,-2.487070621,0.516545062,-0.388826759,,-1.883280357
2015-05,-0.925016011,0.541195091,-0.936559983,-2.379111246,1.380118926,,1.454095235
2015-06,-17.22464973,-0.282106833,4.693138314,-1.546416993,-3.399437729,,-15.67823273
2015-07,-2.287723522,3.129218107,-1.65953002,-1.616989475,-1.498457577,,-0.670734046
2015-08,-3.063839067,-2.319774671,-0.188887178,-2.442028766,-1.234773699,,-0.621810301
2015-09,-1.449376449,-1.301069778,1.121115983,-2.527638295,-1.372656682,,1.078261846
2015-10,1.816001439,1.785454936,-1.37192573,0.059210616,4.037102534,,1.756790824
2015-11,-1.743672064,-2.882919195,-3.985632927,-1.632505213,-0.738000411,,-0.111166851
2015-12,-0.770363931,-1.450286365,-0.901394104,18.61374622,-5.188131523,,-19.38411015
2016-01,0.890104938,-0.575167398,-25.87143625,-1.160797723,0.384138403,,2.050902661
2016-02,-2.394066175,-3.043462733,-1.137373139,2.377771619,-2.500590861,,-4.771837793
2016-03,0.419587638,-1.336484967,7.979247096,-0.354418317,-0.865119839,,0.774005955
2016-04,-1.899581943,0.663088643,-1.670670914,-1.353881481,-1.833367624,,-0.545700462
2016-05,-1.204424668,-5.029491984,-0.826682759,-1.203088729,7.194642414,,-0.001335938
2016-06,-2.142679335,-1.641493982,-1.083486195,-4.903974704,-2.0758087,,2.761295369
2016-07,-3.383553637,-0.441001994,-4.01047423,-0.886344461,-1.539307382,,-2.497209176
2016-08,-2.062510286,-2.305780897,14.08564184,-7.097019209,-1.80044093,,5.034508922
2016-09,-0.999576751,-1.618113603,-1.947537385,-0.362300845,-0.661903816,,-0.637275906
2016-10,1198.369568,-2.307890744,-1.070606355,-1.099808252,-5.058488601,,1199.469376
2016-11,-3.895310284,-1.28778417,-20.07164905,17.05765272,-0.916304169,,-20.952963
2016-12,-1.292489574,4.414992767,-1.280262401,11.19382339,-8.035044234,,-12.48631297
2017-01,-0.98003356,-2.030166335,1.788211982,-1.192139739,-0.971811836,,0.21210618
2017-02,-61.47779154,-1.839708871,-0.088671133,3.335876602,-15.17802692,,-64.81366814
2017-03,-2.963760002,-0.420640144,-5.308801,-2.191733128,-1.080505312,,-0.772026874
2017-04,-1.255725582,-0.731434713,-1.457879568,-1.159302543,12.00073316,,-0.096423039
2017-05,-0.739436086,-14.60147073,-0.641007839,4.055969773,-0.660535015,,-4.795405858
2017-06,-3.727067112,-1.49111513,-0.551767546,-2.23066841,-4.417297282,,-1.496398702
2017-07,-3.141157643,-1.065618409,-1.17888182,-1.181043665,-2.348966991,,-1.960113978
2017-08,-2.296339913,8.976542202,-16.47512702,3.749999954,-0.615434596,,-6.046339867
2017-09,-1.997582666,-1.459715463,-3.17503846,-0.901960782,-5.248295762,,-1.095621885
2017-10,-0.847805915,1.2588738,-1.783303392,-1.421052693,-1.041340578,,0.573246779
2017-11,1.034186147,-3.44828031,-1.475653264,-0.3975003,9.858290895,,1.431686447
2017-12,-4.115160465,-1.551264041,-0.105962883,53.59752828,-1.331708307,,-57.71268875
2018-01,-3.505249942,-1.566148325,-2.622182256,-1.224122204,-1.659596384,,-2.281127738
2018-02,-3.103309828,1.9963709,-0.670806534,2.466429349,-1.003458834,,-5.569739177
2018-03,-1.132158677,-1.472467115,-7.223609807,-1.779163606,484.5297851,,0.647004929
2018-04,1.402483468,-1.171356464,-1.839639618,0.13929693,-2.476454466,,1.263186538
2018-05,-0.377224922,18.36066334,-1.396924618,-2.829742678,-1.831821096,,2.452517756
2018-06,-1.886642458,-1.531086712,-1.151357259,-1.62731872,-2.694399507,,-0.259323739
2018-07,-2.846640771,-1.174570473,3.374362478,-1.261904768,-1.996973434,,-1.584736003
2018-08,-1.182400415,9.586208382,0.966844284,1.914589354,-1.67341577,,-3.096989769
2018-09,3.580334136,-1.771993246,-3.146740677,-1.409256697,-1.995979582,,4.989590833
2018-10,1.985381729,-1.275244347,-1.821220588,4.523048581,-2.628877709,,-2.537666852
2018-11,-2.176038404,0.949143131,-1.725887532,-2.154740704,-1.604813055,,-0.021297699
2018-12,-2.271512131,-1.656084838,-1.908520646,-1.298462868,-1.598347082,,-0.973049263
2019-01,-2.509273258,0.042239708,-0.605079102,-0.260090376,-0.731127688,,-2.249182882
2019-02,-1.270026468,-3.631722612,0.933770559,-3.55291289,-0.846165277,,2.282886422
2019-03,-0.751756632,-1.630753064,-3.80320259,-1.041025638,23.0477018,,0.289269007
2019-04,-2.803530097,-0.349549308,-1.325523715,1.585417018,-8.665188946,,-4.388947115
2019-05,-6.126341958,-6.131320187,-0.692651018,-4.83722783,-1.905038184,,-1.289114129
2019-06,-2.263580311,-2.044696026,-0.777354659,-1.378832427,-1.455246277,,-0.884747884
2019-07,-1.398039108,-1.291958157,-12.77176647,0.986696154,-2.063531283,,-2.384735262
2019-08,-0.416212773,-1.819312907,-2.935126974,-8.845145164,-1.842806925,,8.428932391
2019-09,-2.124549446,8.034076111,-2.621516447,-1.642636126,-0.537687773,,-0.48191332
2019-10,-0.904009696,0.854012553,-1.597502807,-1.671758262,-4.700371012,,0.767748566
2019-11,2.895093783,-1.728272903,-2.350885505,-0.517136269,-0.902341574,,3.412230052
2019-12,-1.402081122,-0.995522123,-1.812770294,-5.347381025,-9.837425197,,3.945299903
